playerName,roundsPerGame,playersPerTable,winsVOpTwoPlayer,winsV1/2PlayersPlayer,winsV1/12RandomPlayer,winsV1/3RandomPlayer,winsV1/6RandomPlayer,winsV1000PotPlayer,winsV14RollsPlayer,winsV200PotPlayer,winsV3DoublesPlayer,winsV7DoublesPlayer,winsV7RollsPlayer,winsVAdversarialLeader,winsVLastBankingPlayer,placementIn1,placementIn2,placementIn3,placementIn4,placementIn5,placementIn6,placementIn7,placementIn8,placementIn9,games_played
1/6RandomPlayer,15,8,4079,2434,2847,1934,1993,2220,2414,1489,2084,3901,1632,3577,4065,1350,1342,1394,1207,1091,837,422,357,,8000
1/12RandomPlayer,15,8,4212,2356,1932,1429,1598,2270,2166,1198,1920,3904,1301,3434,3950,952,1110,1378,1319,1191,1055,497,498,,8000
3DoublesPlayer,15,8,4128,3153,2538,2291,2269,2785,2346,2114,3878,3968,2197,3640,4032,2023,1443,1498,1303,798,580,264,91,,8000
7DoublesPlayer,15,8,4252,2558,458,450,427,2301,912,573,1070,3762,492,3219,4395,725,355,693,1488,1155,1698,1386,500,,8000
AdversarialLeader,15,8,4275,2721,917,776,839,2590,1228,779,1416,4085,761,3152,4286,615,584,1010,1634,1334,1680,1068,75,,8000
1/2PlayersPlayer,15,8,4174,3848,1931,1962,1905,3110,2580,1899,2656,4141,1885,3537,4233,1225,1167,1779,2462,969,270,94,34,,8000
OpTwoPlayer,15,9,5124,3737,268,301,304,2662,903,297,1053,5104,307,4174,5522,256,193,511,1303,1905,1353,1823,1451,205,9000
LastBankingPlayer,15,9,5522,3680,273,291,285,2592,874,312,1010,5129,322,4250,5008,242,185,549,1207,1980,1304,1813,1530,190,9000
200PotPlayer,15,9,5340,3784,4119,3598,3781,2814,3433,4850,2920,4854,3403,4757,5262,2380,1724,1535,1256,886,631,358,164,66,9000
1000PotPlayer,15,9,5601,4578,2667,3013,2845,4950,2883,2814,3185,4996,2970,4743,5452,2613,1221,1160,1201,1205,705,536,274,85,9000
7RollsPlayer,15,9,5305,3460,3935,3255,3306,2624,3057,2300,2589,4876,4868,4566,5281,1819,1669,1487,1277,1057,793,491,291,116,9000
14RollsPlayer,15,9,5221,4098,2795,2560,2441,3292,5092,2166,2896,4917,2424,4578,5302,1750,1272,1427,1475,1247,853,543,308,125,9000
1/3RandomPlayer,15,9,5253,3480,3774,2440,3095,2547,3139,1997,2436,4844,2362,4667,5206,1434,1350,1393,1356,1115,983,704,363,302,9000
1/6RandomPlayer,15,9,5253,3437,3466,2491,2530,2688,3113,1928,2472,4916,2330,4536,5439,1269,1312,1496,1383,1128,1025,707,371,309,9000
1/12RandomPlayer,15,9,5358,3476,2441,1869,2015,2904,2831,1523,2273,4954,1690,4572,5378,973,1014,1356,1525,1211,1164,948,409,400,9000
